,retail_recreation,grocery_pharmacy,parks,transit_stations,workplace,residential,second_level_subdivision,country_code,first_level_subdivision
10,-72.0,-23.0,,,-47,,None,EE,Rapla County
11,-80.0,-40.0,,-80.0,-57,,None,EE,Saare County
12,-65.0,-30.0,-13.0,-54.0,-35,23.0,None,EE,Tartu County
13,-58.0,-30.0,,,-40,,None,EE,Valga County
14,-58.0,-26.0,,-42.0,-13,,None,EE,Viljandi County
15,-82.0,-20.0,,,-46,,None,EE,Võru County
0,-39.0,-25.0,-13.0,-59.0,-6,12.0,None,FJ,None
0,-52.0,-21.0,48.0,-59.0,-25,9.0,None,FI,None
1,-48.0,-22.0,60.0,-70.0,-23,8.0,None,FI,Central Finland
2,-44.0,-13.0,,-63.0,-21,15.0,None,FI,Central Ostrobothnia
3,-54.0,-24.0,44.0,-64.0,-21,13.0,None,FI,Kainuu
4,-52.0,-21.0,65.0,-64.0,-17,8.0,None,FI,Kymenlaakso
5,-62.0,-30.0,40.0,-71.0,-31,7.0,None,FI,Lapland
6,-54.0,-20.0,61.0,-54.0,-24,14.0,None,FI,North Karelia
7,-51.0,-24.0,73.0,-55.0,-24,8.0,None,FI,Northern Ostrobothnia
8,-56.0,-20.0,47.0,-53.0,-22,7.0,None,FI,Northern Savonia
9,-44.0,-16.0,70.0,-50.0,-21,8.0,None,FI,Ostrobothnia
10,-53.0,-21.0,42.0,-53.0,-26,9.0,None,FI,Pirkanmaa
11,-56.0,-22.0,84.0,-54.0,-25,8.0,None,FI,Päijänne Tavastia
12,-49.0,-22.0,34.0,-48.0,-19,8.0,None,FI,Satakunta
13,-55.0,-26.0,46.0,-64.0,-25,15.0,None,FI,South Karelia
14,-49.0,-20.0,50.0,-51.0,-20,9.0,None,FI,Southern Ostrobothnia
15,-55.0,-18.0,59.0,-66.0,-23,14.0,None,FI,Southern Savonia
16,-54.0,-22.0,15.0,-51.0,-25,9.0,None,FI,Southwest Finland
17,-53.0,-24.0,43.0,-62.0,-22,9.0,None,FI,Tavastia Proper
18,-50.0,-20.0,39.0,-64.0,-28,10.0,None,FI,Uusimaa
0,-88.0,-72.0,-82.0,-87.0,-56,18.0,None,FR,None
1,-87.0,-74.0,-80.0,-89.0,-56,19.0,None,FR,Auvergne-Rhône-Alpes
2,-87.0,-77.0,-77.0,-88.0,-54,18.0,None,FR,Bourgogne-Franche-Comté
3,-87.0,-76.0,-83.0,-88.0,-53,18.0,None,FR,Brittany
4,-86.0,-75.0,-79.0,-88.0,-53,17.0,None,FR,Centre-Val de Loire
5,-84.0,-67.0,-74.0,-83.0,-54,21.0,None,FR,Corsica
6,-89.0,-77.0,-81.0,-89.0,-59,17.0,None,FR,Grand Est
7,-88.0,-72.0,-84.0,-87.0,-56,17.0,None,FR,Hauts-de-France
8,-86.0,-73.0,-78.0,-88.0,-53,17.0,None,FR,Normandy
9,-86.0,-76.0,-80.0,-86.0,-53,18.0,None,FR,Nouvelle-Aquitaine
10,-86.0,-72.0,-73.0,-86.0,-53,18.0,None,FR,Occitanie
11,-88.0,-78.0,-80.0,-90.0,-54,18.0,None,FR,Pays de la Loire
12,-87.0,-68.0,-83.0,-85.0,-55,18.0,None,FR,Provence-Alpes-Côte d'Azur
13,-91.0,-69.0,-89.0,-87.0,-63,20.0,None,FR,Île-de-France
0,-39.0,-24.0,-25.0,-47.0,-15,15.0,None,GA,None
0,-67.0,-36.0,-24.0,-53.0,-38,12.0,None,GE,None
0,-77.0,-51.0,-49.0,-68.0,-39,11.0,None,DE,None
1,-79.0,-49.0,-55.0,-71.0,-43,12.0,None,DE,Baden-Württemberg
